	Group	Type	Date
Coeliac.Diet.1991.1992	CCD	Diet	1991 - 1992
Coeliac.Diet.1993.1994	CCD	Diet	1993 - 1994
Coeliac.Diet.1995.1996	CCD	Diet	1995 - 1996
Coeliac.Diet.1997.1998	CCD	Diet	1997 - 1998
Coeliac.Diet.1999.2000	CCD	Diet	1999 - 2000
Coeliac.Diet.2001.2002	CCD	Diet	2001 - 2002
Coeliac.Diet.2003.2004	CCD	Diet	2003 - 2004
Coeliac.Diet.2005.2006	CCD	Diet	2005 - 2006
Coeliac.Diet.2007.2008	CCD	Diet	2007 - 2008
Coeliac.Diet.2009.2010	CCD	Diet	2009 - 2010
Coeliac.Diet.2011.2012	CCD	Diet	2011 - 2012
Coeliac.Diet.2013.2014	CCD	Diet	2013 - 2014
Coeliac.Diet.2015.2016	CCD	Diet	2015 - 2016
Coeliac.Food.1991.1992	CCD	Food	1991 - 1992
Coeliac.Food.1993.1994	CCD	Food	1993 - 1994
Coeliac.Food.1995.1996	CCD	Food	1995 - 1996
Coeliac.Food.1997.1998	CCD	Food	1997 - 1998
Coeliac.Food.1999.2000	CCD	Food	1999 - 2000
Coeliac.Food.2001.2002	CCD	Food	2001 - 2002
Coeliac.Food.2003.2004	CCD	Food	2003 - 2004
Coeliac.Food.2005.2006	CCD	Food	2005 - 2006
Coeliac.Food.2007.2008	CCD	Food	2007 - 2008
Coeliac.Food.2009.2010	CCD	Food	2009 - 2010
Coeliac.Food.2011.2012	CCD	Food	2011 - 2012
Coeliac.Food.2013.2014	CCD	Food	2013 - 2014
Coeliac.Food.2015.2016	CCD	Food	2015 - 2016
Coeliac.Nutrition.1991.1992	CCD	Nutrition	1991 - 1992
Coeliac.Nutrition.1993.1994	CCD	Nutrition	1993 - 1994
Coeliac.Nutrition.1995.1996	CCD	Nutrition	1995 - 1996
Coeliac.Nutrition.1997.1998	CCD	Nutrition	1997 - 1998
Coeliac.Nutrition.1999.2000	CCD	Nutrition	1999 - 2000
Coeliac.Nutrition.2001.2002	CCD	Nutrition	2001 - 2002
Coeliac.Nutrition.2003.2004	CCD	Nutrition	2003 - 2004
Coeliac.Nutrition.2005.2006	CCD	Nutrition	2005 - 2006
Coeliac.Nutrition.2007.2008	CCD	Nutrition	2007 - 2008
Coeliac.Nutrition.2009.2010	CCD	Nutrition	2009 - 2010
Coeliac.Nutrition.2011.2012	CCD	Nutrition	2011 - 2012
Coeliac.Nutrition.2013.2014	CCD	Nutrition	2013 - 2014
Coeliac.Nutrition.2015.2016	CCD	Nutrition	2015 - 2016
UlcerativeColitis.Diet.1991.1992	UC	Diet	1991 - 1992
UlcerativeColitis.Diet.1993.1994	UC	Diet	1993 - 1994
UlcerativeColitis.Diet.1995.1996	UC	Diet	1995 - 1996
UlcerativeColitis.Diet.1997.1998	UC	Diet	1997 - 1998
UlcerativeColitis.Diet.1999.2000	UC	Diet	1999 - 2000
UlcerativeColitis.Diet.2001.2002	UC	Diet	2001 - 2002
UlcerativeColitis.Diet.2003.2004	UC	Diet	2003 - 2004
UlcerativeColitis.Diet.2005.2006	UC	Diet	2005 - 2006
UlcerativeColitis.Diet.2007.2008	UC	Diet	2007 - 2008
UlcerativeColitis.Diet.2009.2010	UC	Diet	2009 - 2010
UlcerativeColitis.Diet.2011.2012	UC	Diet	2011 - 2012
UlcerativeColitis.Diet.2013.2014	UC	Diet	2013 - 2014
UlcerativeColitis.Diet.2015.2016	UC	Diet	2015 - 2016
UlcerativeColitis.Food.1991.1992	UC	Food	1991 - 1992
UlcerativeColitis.Food.1993.1994	UC	Food	1993 - 1994
UlcerativeColitis.Food.1995.1996	UC	Food	1995 - 1996
UlcerativeColitis.Food.1997.1998	UC	Food	1997 - 1998
UlcerativeColitis.Food.1999.2000	UC	Food	1999 - 2000
UlcerativeColitis.Food.2001.2002	UC	Food	2001 - 2002
UlcerativeColitis.Food.2003.2004	UC	Food	2003 - 2004
UlcerativeColitis.Food.2005.2006	UC	Food	2005 - 2006
UlcerativeColitis.Food.2007.2008	UC	Food	2007 - 2008
UlcerativeColitis.Food.2009.2010	UC	Food	2009 - 2010
UlcerativeColitis.Food.2011.2012	UC	Food	2011 - 2012
UlcerativeColitis.Food.2013.2014	UC	Food	2013 - 2014
